name sigma Nstars minMass maxMass refs
IC1805 65.45329203402903 8 15 60 \citet{2017ApJS..230....3S}
IC1848 50.26275741127991 5 15 60 \citet{2014MNRAS.438.1451L}
IC2944 31.357122212648363 14 15 60 \citet{2014MNRAS.443..411B}
NGC6231 67.61903406110999 13 15 60 \citet{2013AJ....145...37S}
NGC6611 25.32524131575383 9 15 60 \citet{2008AA...490.1071G}
Wd2 14.999765386529885 44 6 60 \citet{2018AJ....156..211Z}
M8 32.69110237188463 16 6 20 \citetalias{2020AA...633A.155R}
NGC6357 26.850667796133674 22 6 30 \citetalias{2020AA...633A.155R}
R136 25.0 332 15 60 \citet{2012AA...546A..73H}
M17 5.5 12 6 20 \citet{paper1}
