name ; age ; age_err ; sig1D ; sig1D_err
IC1805  ; 2.55 ; 0.95 ; 65.45329203402903   ; 3.054498243099999
IC1848  ; 4.0 ; 1.0   ; 50.26275741127991   ; 12.775488121069333
IC2944  ; 2.5 ; 0.5   ; 31.357122212648363  ; 0.3457072388388005
NGC6231 ; 4.4 ; 0.9   ; 67.61903406110999   ; 0.3579870643124825
#NGC6231 ; 4.5 ; 2.5   ; 67.61903406110999   ; 0.3579870643124825
NGC6611 ; 4.0 ; 2.0   ; 25.32524131575383   ; 1.6372648588035232
Wd2     ; 1.5 ; 0.5   ; 14.999765386529885  ; 0.11344889729720171
M17     ; 1.0 ; 1.0   ; 5.5                 ; 0.5
#M8      ; 2.0 ; 1.0   ; 30.94              ; 2.35
#NGC6357 ; 1.75 ; 1.25 ; 25.73              ; 1.13
#G333    ; 1.75 ; 1.25 ; 18.04              ; 4.08
M8      ; 2.0 ; 1.0   ; 32.69110237188463   ; 2.589515202411763
NGC6357 ; 1.75 ; 1.25 ; 26.850667796133674  ; 1.283092792733746
#G333    ; 1.75 ; 1.25 ; 5.56089079139046   ; 4.08
R136    ; 1.5 ; 0.5   ; 25.0                ; 5.9
